ticker,institutional_pct,insider_pct,short_pct,float_shares_m,num_inst_holders,insider_buys,insider_sells,insider_sentiment,institutional_score,institutional_stage
DLR,101.1,0.02,3.64,321.26,10,0,0,Neutral,65,Institutional Support
DLTR,115.87,0.15,9.49,175.05,10,0,0,Neutral,65,Institutional Support
DOC,97.6,0.29,4.89,692.21,10,0,0,Neutral,65,Institutional Support
DOV,88.48,1.39,3.0,135.3,10,0,0,Neutral,65,Institutional Support
DOW,66.76,0.17,4.48,715.39,10,0,0,Neutral,60,Institutional Support
DPZ,90.84,9.33,7.07,32.83,10,0,0,Neutral,65,Institutional Support
DRI,95.91,0.33,7.66,114.59,10,0,0,Neutral,65,Institutional Support
DTE,80.88,0.36,1.99,206.63,10,0,0,Neutral,70,Strong Institutional Support
DUK,70.3,0.13,1.62,775.79,10,0,0,Neutral,65,Institutional Support
DVA,51.46,51.54,20.23,36.28,10,0,0,Neutral,40,Institutional Concern
DVN,80.55,0.8,4.03,621.93,10,0,0,Neutral,65,Institutional Support
DXCM,97.15,0.43,5.09,387.37,10,0,0,Neutral,65,Institutional Support
EA,99.79,0.2,4.25,224.73,10,0,0,Neutral,65,Institutional Support
EBAY,95.85,0.25,3.32,450.29,10,0,0,Neutral,65,Institutional Support
ECL,94.12,0.14,1.07,285.43,10,0,0,Neutral,70,Strong Institutional Support
ED,73.59,0.22,3.69,360.3,10,0,0,Neutral,60,Institutional Support
EFX,101.99,0.51,2.95,121.85,10,0,0,Neutral,70,Strong Institutional Support
EG,98.24,1.42,2.59,31.6,10,0,0,Neutral,70,Strong Institutional Support
EIX,90.93,0.23,2.87,383.82,10,0,0,Neutral,70,Strong Institutional Support
EL,92.6,1.54,4.35,244.85,10,0,0,Neutral,65,Institutional Support
ELV,91.94,0.17,1.66,221.31,10,0,0,Neutral,70,Strong Institutional Support
EMN,92.0,0.78,4.25,113.2,10,0,0,Neutral,65,Institutional Support
EMR,84.11,0.24,2.7,559.88,10,0,0,Neutral,70,Strong Institutional Support
ENPH,96.23,3.43,30.13,126.87,10,0,0,Neutral,55,Institutional Support
EOG,95.52,0.29,2.61,540.78,10,0,0,Neutral,70,Strong Institutional Support
EPAM,101.77,3.6,6.4,53.34,10,0,0,Neutral,65,Institutional Support
EQIX,99.11,0.28,2.65,97.81,10,0,0,Neutral,70,Strong Institutional Support
EQR,94.83,0.54,2.79,342.66,10,0,0,Neutral,70,Strong Institutional Support
EQT,94.9,0.7,4.23,618.81,10,0,0,Neutral,65,Institutional Support
ES,86.3,0.21,1.9,374.3,10,0,0,Neutral,70,Strong Institutional Support
ESS,103.7,1.17,3.35,63.76,10,0,0,Neutral,65,Institutional Support
ETN,85.68,0.18,1.89,387.07,10,0,0,Neutral,70,Strong Institutional Support
ETR,97.95,0.28,3.15,444.29,10,0,0,Neutral,65,Institutional Support
ETSY,126.37,1.21,22.99,81.28,10,0,0,Neutral,55,Institutional Support
EVRG,94.73,0.18,6.08,229.03,10,0,0,Neutral,65,Institutional Support
EW,89.97,0.92,1.55,578.47,10,0,0,Neutral,70,Strong Institutional Support
EXC,90.89,0.11,5.26,1008.59,10,0,0,Neutral,65,Institutional Support
EXPD,103.91,0.68,5.16,132.95,10,0,0,Neutral,65,Institutional Support
EXPE,102.94,1.16,6.05,115.46,10,0,0,Neutral,65,Institutional Support
EXR,99.39,0.98,3.32,209.96,10,0,0,Neutral,65,Institutional Support
F,65.5,0.26,5.65,3876.84,10,0,0,Neutral,60,Institutional Support
FANG,63.53,35.57,4.75,184.68,10,0,0,Neutral,60,Institutional Support
FAST,88.35,0.19,3.14,1144.45,10,0,0,Neutral,65,Institutional Support
FCX,86.13,0.67,2.34,1392.08,10,0,0,Neutral,70,Strong Institutional Support
FDS,96.78,0.41,5.55,36.97,10,0,0,Neutral,65,Institutional Support
FDX,80.47,7.58,1.46,217.12,10,0,0,Neutral,70,Strong Institutional Support
FE,95.26,0.16,6.5,547.08,10,0,0,Neutral,65,Institutional Support
FFIV,104.13,0.5,7.07,56.31,10,0,0,Neutral,65,Institutional Support
FI,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
FICO,92.15,2.71,5.6,23.06,10,0,0,Neutral,65,Institutional Support
FIS,99.15,0.13,3.24,516.63,10,0,0,Neutral,65,Institutional Support
FITB,65.93,0.32,9.58,657.13,10,0,0,Neutral,60,Institutional Support
FLT,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
FMC,89.93,0.94,11.94,123.91,10,0,0,Neutral,55,Institutional Support
FOX,65.97,38.87,10.28,351.18,10,0,0,Neutral,50,Neutral
FOXA,121.75,1.31,14.03,351.18,10,0,0,Neutral,55,Institutional Support
FRT,98.38,1.05,3.61,77.93,10,0,0,Neutral,65,Institutional Support
FSLR,104.03,5.46,10.11,101.44,10,0,0,Neutral,55,Institutional Support
FTNT,71.12,17.34,3.27,625.94,10,0,0,Neutral,60,Institutional Support
FTV,102.45,0.35,4.85,291.59,10,0,0,Neutral,65,Institutional Support
GD,88.06,0.51,1.23,253.19,10,0,0,Neutral,70,Strong Institutional Support
GDDY,102.71,0.67,6.22,134.24,10,0,0,Neutral,65,Institutional Support
GE,81.05,0.19,1.32,1045.16,10,0,0,Neutral,70,Strong Institutional Support
GEHC,89.58,0.27,3.13,454.29,10,0,0,Neutral,65,Institutional Support
GEN,88.02,9.31,3.78,472.37,10,0,0,Neutral,65,Institutional Support
GEV,80.3,0.07,2.42,269.09,10,0,0,Neutral,70,Strong Institutional Support
GILD,92.31,0.1,1.85,1238.05,10,0,0,Neutral,70,Strong Institutional Support
GIS,87.11,0.3,8.73,531.28,10,0,0,Neutral,65,Institutional Support
GL,86.14,0.64,1.95,78.93,10,0,0,Neutral,70,Strong Institutional Support
GLW,80.85,8.71,1.5,778.33,10,0,0,Neutral,70,Strong Institutional Support
GM,89.29,0.18,2.98,901.13,10,0,0,Neutral,70,Strong Institutional Support
GNRC,95.56,1.66,8.46,57.52,10,0,0,Neutral,65,Institutional Support
GOOG,60.81,6.68,0.0,10798.4,10,0,0,Neutral,65,Institutional Support
GOOGL,81.3,0.57,1.44,10798.4,10,0,0,Neutral,70,Strong Institutional Support
GPC,88.44,0.4,3.81,138.51,10,0,0,Neutral,65,Institutional Support
GPN,96.04,0.82,3.62,198.43,10,0,0,Neutral,65,Institutional Support
GRMN,57.38,14.89,1.4,163.47,10,0,0,Neutral,55,Institutional Support
GS,75.04,0.55,2.07,305.61,10,0,0,Neutral,65,Institutional Support
GWW,73.48,6.2,3.57,43.51,10,0,0,Neutral,60,Institutional Support
HAL,90.25,0.48,5.14,834.06,10,0,0,Neutral,65,Institutional Support
HAS,93.21,0.69,3.88,139.61,10,0,0,Neutral,65,Institutional Support
HBAN,68.04,0.7,6.93,1557.45,10,0,0,Neutral,60,Institutional Support
HCA,61.52,31.3,2.49,158.16,10,0,0,Neutral,65,Institutional Support
HD,74.04,0.07,1.18,993.91,10,0,0,Neutral,65,Institutional Support
HES,0.0,0.0,0.0,0.0,0,0,0,Unknown,45,Neutral
HIG,95.07,0.32,2.44,275.53,10,0,0,Neutral,70,Strong Institutional Support
HII,96.45,0.66,4.4,38.99,10,0,0,Neutral,65,Institutional Support
HLT,99.77,2.08,3.19,228.22,10,0,0,Neutral,65,Institutional Support
